folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,combus,eli_basura,tenencia,estim_pago,escrituras,tot_resid,tot_hom,tot_muj,est_socio,ing_tri,ing_tri_pc
1906156202,2,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,4,3000,1,2,1,1,2,27890.1,13945.05
1906156203,2,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,2,1,3,1,1, ,,4,1,3,2,38571.42,9642.855
1906156204,1,8,10,3,1,2,2,5,1,1,1,1,2,1,2,0,0,1,1,3,1,4,3000,1,4,1,3,2,59340.65,14835.1625
1906156407,1,8,10,2,1,2,1,3,1,1,1,1,2,1,1,0,0,2,1,3,1,4,3000,1,2,1,1,2,45244.56,22622.28
1906156408,1,7,10,3,1,2,3,4,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,6,3,3,2,61483.68,10247.28
1906156409,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,4,2000,1,2,1,1,2,33040.75,16520.375
1906156714,1,8,10,2,1,2,2,5,1,3,1,1,2,1,1,0,0,1,1,3,1,4,2000,3,1,0,1,2,23606.55,23606.55
1906156716,1,8,3,2,1,2,5,6,1,1,1,1,2,1,2,3,0,1,1,3,1,4,2500,1,4,3,1,2,161262.23,40315.5575
1906156717,2,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,5,3,2,2,78196.71,15639.342
1906156919,2,8,3,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,5,3,2,2,28066.28,5613.256
1906156920,1,8,10,2,1,2,2,3,1,1,1,1,2,1,2,0,0,1,1,3,1,1, ,,3,1,2,2,41086.95,13695.65
1906156922,1,8,10,3,1,2,2,5,1,1,1,1,2,1,1,1,0,1,1,3,1,4,4000,1,4,3,1,2,81929.32,20482.33
1906156924,2,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,2,4,6000,2,3,2,1,2,83274.45,27758.15
1906157801,1,8,10,3,1,2,2,5,1,1,1,1,1,1,3,0,0,1,1,4,1,2,8000,,2,0,2,4,33565.52,16782.76
1906157802,1,8,10,3,1,2,3,6,1,1,1,1,2,1,3,0,0,1,1,4,1,3,8000,1,4,2,2,4,239016.36,59754.09
1906157803,1,8,10,3,1,2,3,6,1,1,1,1,1,1,3,0,0,1,1,4,1,3,5000,1,5,4,1,4,107704.89,21540.978
