variable,kruskal_statistic,p_value
OS.time,3.6521739130434696,0.05599607772154513
days_to_collection.samples,3.181463534970471,0.07447799345301055
year_of_diagnosis.diagnoses,3.1757152858380087,0.07474047984874131
days_to_death.demographic,2.9137931034482847,0.08782509563019424
age_at_index.demographic,2.091154208491691,0.14815410116870856
age_at_earliest_diagnosis_in_years.diagnoses.xena_derived,1.8409961685823646,0.17483423507540446
age_at_diagnosis.diagnoses,1.8409961685823646,0.17483423507540446
days_to_birth.demographic,1.8409961685823646,0.17483423507540446
age_at_earliest_diagnosis.diagnoses.xena_derived,1.8409961685823646,0.17483423507540446
initial_weight.samples,0.9923673957781427,0.31916444985645176
days_to_last_follow_up.diagnoses,0.9898989898990038,0.3197670634951725
year_of_birth.demographic,0.6224851301719365,0.4301252925186917
year_of_death.demographic,0.07216618809191716,0.7882085348507555
