gene,statistic,p_value,effect_size_max_minus_min,cluster_with_highest_expression,mean_cluster_0,mean_cluster_1,p_adjusted_bh
ENSG00000101470.10,-22.548595410363905,1.9967306161923918e-29,8.710163223344706,1,3.7422860694248765,12.452449292769582,3.993461232384784e-26
ENSG00000135902.10,-21.23264188752208,4.613041678845916e-28,6.999208672420656,1,1.6215623585247017,8.620771030945358,4.613041678845916e-25
ENSG00000180209.12,-19.37824736621982,7.767914042365354e-26,8.908002790482708,1,3.488670085083267,12.396672875565976,5.1786093615769024e-23
ENSG00000122180.5,-19.164408975999603,1.3683592482377324e-25,8.996711165427806,1,2.147395716797414,11.14410688222522,6.841796241188662e-23
ENSG00000159251.8,-18.296034444149573,9.756713692828036e-25,8.553220001499897,1,2.920227380841188,11.473447382341085,3.902685477131214e-22
ENSG00000118729.12,-21.76461695133548,2.0246015416087744e-24,7.5894294962723094,1,1.6204626251283827,9.209892121400692,6.748671805362581e-22
ENSG00000124701.5,-22.51980575309272,3.7850265203335816e-24,7.372710615231522,1,1.2377145595930072,8.61042517482453,1.0814361486667376e-21
ENSG00000168530.16,-18.10738319955079,1.0673356144924158e-23,9.58514173452671,1,2.3339569773364857,11.919098711863196,2.6683390362310394e-21
ENSG00000109063.15,-19.18398097415567,1.827021005919824e-23,7.829260130468681,1,2.6460196130330993,10.47527974350178,4.0390086992565335e-21
ENSG00000165917.10,-18.34665635308112,2.019504349628267e-23,6.533860884984624,1,1.9155703445661298,8.449431229550754,4.0390086992565335e-21
ENSG00000187616.5,-20.17137383650529,2.157563146797895e-22,6.739765578016044,1,1.2284640451494266,7.96822962316547,3.9228420850870826e-20
ENSG00000196296.14,-19.627270338497322,2.588766747258917e-22,6.119737399618073,1,2.3600507446537424,8.479788144271815,4.3146112454315285e-20
ENSG00000105251.11,-17.32148031275765,4.540872900038483e-22,5.5203631071614305,1,1.704447398357383,7.224810505518813,6.985958307751512e-20
ENSG00000159173.19,-19.251107372882025,3.1031797008974424e-21,6.919529935210855,1,2.5796741444766393,9.499204079687495,4.433113858424918e-19
